k_folds,num_trees,mean,stdev
5,1,0.8114942528735632,0.1656927549636082
5,5,0.8873563218390805,0.05354397562690629
5,10,0.8505747126436781,0.0971927271568262
5,25,0.8758620689655172,0.1239035676157413
5,50,0.8505747126436781,0.13255819074334246
5,75,0.9149425287356322,0.04983789284753746
5,100,0.9057471264367816,0.056544247706891204
10,1,0.8320251937984496,0.15449950124567766
10,5,0.8680232558139535,0.11794829024077845
10,10,0.833624031007752,0.13615024995006308
10,25,0.9328972868217054,0.06883454988737576
10,50,0.9057170542635659,0.07632046883702821
10,75,0.9344961240310078,0.05644826894496409
10,100,0.9219961240310077,0.08413230203755899
